timestamp,open,high,low,close,volume
2018-03-28,429.4999,436.6999,391.0999,398.8998,10231362
2018-02-28,434.9998,449.1498,402.9998,427.3499,7048681
2018-01-31,531.4998,542.2498,422.1998,439.6499,59906291
2017-12-29,496.8498,547.1998,476.9998,529.3998,21963720
2017-11-30,517.9998,564.9998,479.9999,496.8498,527228260
2017-10-31,389.6499,519.3499,373.0999,497.6498,10462968
2017-09-29,428.9998,430.1498,369.9999,388.6499,2753277
2017-08-31,415.6499,437.9998,403.6998,427.8499,2773591
2017-07-31,381.9999,430.9999,373.3499,417.7999,10771059
2017-06-30,369.9999,386.4498,360.9998,379.1499,7368263
2017-05-31,350.1498,381.4999,336.9498,371.7998,8326800
2017-04-28,349.9999,361.3499,333.2499,354.5999,5245806
2017-03-31,367.9999,369.4499,325.4999,349.9498,27084142
2017-02-28,347.8999,400.6499,340.7998,365.1499,7581389
2017-01-31,305.2498,369.9999,299.5499,347.8999,5047136
2016-12-30,325.5499,337.0499,289.2499,305.3499,3027576
2016-11-30,319.9999,326.7999,283.9499,324.4999,3662424
2016-10-28,314.9999,326.1999,296.5998,318.6499,3189333
2016-09-30,330.9999,332.1498,301.9999,314.0499,14109629
2016-08-31,362.0499,370.7998,328.9999,331.8499,4762130
2016-07-29,367.0999,383.3999,353.1999,362.0499,14767009
2016-06-30,354.6499,369.2999,337.2499,366.1499,3588987
2016-05-31,363.9999,377.5498,338.9999,351.6499,6170633
2016-04-29,350.3499,384.8999,325.6999,363.7999,3879111
2016-03-31,315.2999,361.1998,310.1999,350.8998,7681209
2016-02-29,290.9999,334.7998,290.9999,316.7499,10352047
2016-01-29,337.9999,343.8998,282.2999,289.6999,5636470
2015-12-31,334.9999,341.1999,304.6499,339.8999,5371716
2015-11-30,347.9998,354.0999,317.8999,334.4999,3974009
2015-10-30,338.1999,374.3499,335.7999,348.7498,4560199
2015-09-30,351.9999,365.9998,315.6499,337.9999,6430879
2015-08-31,419.4999,427.5999,332.5999,354.4998,5458504
2015-07-31,421.9998,452.4498,404.2999,418.5998,5346782
2015-06-30,416.8998,437.1999,403.4998,419.8999,6708223
2015-05-29,376.9999,434.6998,374.0499,425.2998,7852843
2015-04-30,394.6999,425.6999,371.8499,381.6498,7041558
2015-03-31,358.7499,404.2498,339.0499,393.8998,11699268
2015-02-27,372.9998,377.0998,340.9999,355.4498,4674109
2015-01-30,357.9999,394.4499,339.2999,372.7498,6170969
2014-12-31,382.9999,386.1998,336.8499,352.8499,8971222
2014-11-28,400.9999,408.1999,378.1499,381.9499,5218704
2014-10-31,403.8499,416.9999,379.9999,398.2999,4171440
2014-09-30,371.4998,419.8999,370.3999,404.2498,8915330
2014-08-28,371.9998,386.7999,361.6998,369.6999,6099863
2014-07-31,336.9999,375.0499,326.7499,372.5999,8779829
2014-06-30,345.9999,366.9998,328.0999,336.8999,8885985
2014-05-30,327.9999,349.9999,303.9999,343.9999,6743235
2014-04-30,317.9999,345.3999,311.9999,327.6499,3458683
2014-03-31,289.6999,326.9999,282.2999,318.8999,6210125
2014-02-28,314.4999,319.2999,282.0999,287.4999,9302980
2014-01-31,331.9999,339.6999,291.2499,315.1499,7440351
2013-12-31,327.9999,342.9498,312.2499,330.4498,6583822
2013-11-29,359.9998,373.4999,318.8999,327.1999,5877062
2013-10-31,319.5999,369.8498,309.2499,364.6499,10375518
2013-09-30,302.9999,358.7499,280.9999,318.2499,8242185
2013-08-30,344.9999,353.9998,279.2499,298.5499,7034578
2013-07-31,292.3499,348.2999,283.7999,344.8998,7939075
